school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,latitude,longitude
Arizona,Pac-12,"Bear Down, Arizona",Jack K. Lee,1952,No,No,No,144,83,No,0,No,No,No,No,No,Yes,No,No,No,1,2ckfyC5awK1YD3kbOfCHeP,32.2288054,-110.9488677
Arizona State,Pac-12,Maroon and Gold,Felix McKernan,1948,No,Yes,No,150,106,Yes,3,Yes,No,Yes,No,No,Yes,No,No,Yes,4,138TmlsqwA1J0pGeJBoGUS,33.4264471,-111.9325005
California,Pac-12,Fight for California,Earl Elleson McCoy and Robert N. Fitch,1909,No,Yes,No,134,88,Yes,2,Yes,Yes,Yes,No,No,Yes,Yes,No,No,5,06Qz83gVtmHtWTClrucgjX,37.8710434,-122.2507729
Colorado,Pac-12,Fight CU,Richard Durnett,Unknown,Unknown,Yes,No,151,27,Yes,8,Yes,Yes,Yes,No,No,No,No,No,Yes,4,0Q3VKlBT4lugyLG5n9LKIz,40.0094746,-105.266905
Oregon State,Pac-12,Hail to Old OSU,Harold Wilkins,1914,No,Yes,No,137,63,Yes,2,No,No,No,No,No,No,No,No,Yes,2,4IV43tyrxewZDmBMp2rtHh,44.5594559,-123.2814341
Stanford,Pac-12,Come Join the Band,"Aurania Ellerbeck Rouverol, Robert Browne Hall",1907,Yes,Yes,No,135,63,No,0,No,Yes,Yes,No,No,Yes,Yes,No,No,3,3Zw53YIiVtdcQBmwbBQ2JS,37.4345556,-122.1611271
Utah,Pac-12,Utah Man,Harvey Holmes and the football team,1904,No,Yes,No,168,66,Yes,1,No,No,No,No,Yes,Yes,Yes,No,No,4,5pwoauvjUb3aRkDDvibaco,40.7599724,-111.8488255
Washington State,Pac-12,The Fight Song,Zella Melcher and Phyllis Sayles,1919,Yes,Yes,No,81,64,Yes,7,Yes,Yes,Yes,No,No,Yes,No,No,Yes,5,5VErX42t9bSJGas8aOtQyD,46.731831,-117.1604991
Alabama,SEC,Yea Alabama,Ethelred Lundy (Epp) Sykes,1926,Yes,Yes,Yes,153,59,Yes,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,6,1lkKK6lbsPYD6n5QZbiH1q,33.2082752,-87.5503836
Arkansas,SEC,Arkansas Fight,William Edwin Douglass,1913,Yes,Yes,No,77,88,Yes,3,No,No,No,Yes,No,No,No,No,Yes,3,20iLjYvQOdAO3lPYkfycGn,36.0680662,-94.1789534
Auburn,SEC,War Eagle,Robert Allen and Al Stillman,1955,No,Yes,No,77,27,Yes,1,Yes,Yes,Yes,No,No,Yes,No,No,No,4,1WSPADIiYIO5GfNTJ2vwnM,32.6025532,-85.4897479
Florida,SEC,The Orange and Blue,George Hamilton and Thornton Whitney Allen,1925,No,Yes,No,71,66,Yes,1,No,No,No,No,No,Yes,No,No,No,2,15yyBZUfgNbft50mMB7a4V,29.6499357,-82.3485788
Georgia,SEC,"Glory, Glory","Hugh Hodgson, based on traditional song",1915,Yes,No,No,162,41,No,0,No,No,No,No,No,No,No,No,Yes,1,7masdC1Jz6f4okFu4tAwOz,33.9498197,-83.3733813
Kentucky,SEC,On! On! U of K,Troy Perkins and Charles A. Lampert,1923,Yes,Yes,Yes,79,52,Yes,4,Yes,Yes,Yes,No,No,Yes,No,No,Yes,5,6QMYhg8EaZm7P1n4FZrCWB,38.0220905,-84.5053408
LSU,SEC,Fight for LSU,Castro Carazo and W.G. Higginbotham,1937,No,Yes,No,168,83,Yes,5,No,Yes,Yes,Yes,No,Yes,No,No,Yes,5,5AeAxCC07c4eyWY8eKopQ4,30.412035,-91.1838163
Mississippi,SEC,Forward Rebels,E.F. Yerby,Unknown,Unknown,Yes,No,153,65,Yes,6,Yes,Yes,Yes,No,No,Yes,No,No,No,4,301ClIQs4cI8poO11mklxg,34.3619837,-89.5342076
Mississippi State,SEC,Hail State,Joseph Peavey,1936,No,Yes,Yes,146,54,Yes,2,Yes,Yes,Yes,No,No,No,No,No,Yes,4,3WN6SK7WfjUSRDFH4PlMNV,33.4563403,-88.7933652
Missouri,SEC,Fight Tiger,Donald MacKay and Robert Karsch,1946,Yes,Yes,Yes,138,86,Yes,4,Yes,Yes,Yes,No,No,No,No,No,No,3,4nrVmzJetWGvMa3OKGJm2Q,38.9358491,-92.3332009
South Carolina,SEC,The Fighting Gamecocks Lead the Way (Step to the Rear),"Paul Dietzel and Elmer Bernstein, arranged by James Pritchard",1968,No,Yes,No,153,64,Yes,4,No,Yes,Yes,No,No,Yes,No,No,Yes,4,65X66oBRmSp8gDkoRGbLjD,33.9730239,-81.0191726
Tennessee,SEC,Rocky Top,Felice and Boudleaux Bryant,1967,No,No,No,149,53,No,0,No,No,No,No,No,No,No,No,No,0,5BRY9YO0PDey8RQcDOV9aP,35.9550131,-83.9250128
Texas A&M,SEC,Aggie War Hymn,J.V. “Pinky” Wilson,1918,Yes,No,Yes,117,172,Yes,1,No,No,No,No,Yes,No,Yes,Yes,No,4,4mssGSMkmNIv0XR5e6j9Ky,30.6098891,-96.3403828
Vanderbilt,SEC,Dynamite,Francis Craig,1941,No,Yes,No,72,45,Yes,3,Yes,Yes,Yes,No,No,No,No,No,No,3,5tXWqJHiTDHRYtOngsBPAW,36.1440455,-86.8088942
